n,Group,cross_entropy
1,Agent,10.977592172777118
1,Agent,9.699129564762416
1,Agent,9.14015959656829
1,Agent,8.330685971218488
1,Agent,9.297919099424526
1,Agent,9.715644083541333
1,Agent,8.71431642251097
1,Agent,13.913029632997368
1,Agent,12.315216851914126
1,Agent,8.970505963663546
1,Agent,7.577505596519998
1,Agent,10.127718187487984
1,Agent,9.184564345500512
1,Agent,8.479682914124725
1,Agent,10.346033343913016
1,Agent,3.657115883659577
1,Agent,9.44980047998012
1,Agent,10.093904885285577
1,Agent,11.825566791747027
1,Agent,9.372284311802831
1,Agent,6.810212386769885
1,Agent,9.52063756504617
1,Agent,11.809870848383666
1,Agent,9.398251247362893
1,Agent,10.017600905135637
1,Agent,9.946928089741919
1,Agent,9.778489197494824
1,Agent,10.03947766682024
1,Agent,6.808503882961999
1,Agent,3.6571158836595776
1,Agent,8.670922219251395
1,Agent,6.150520915445737
1,Agent,9.458060356489597
1,Agent,4.369269246100157
1,Agent,9.158820087948765
1,Agent,9.724209234356474
1,Agent,9.546034159559245
1,Agent,9.814551271236827
1,Agent,13.234468253580836
1,Agent,10.651484684478193
1,Agent,10.559576134142857
1,Agent,9.066841201893585
1,Agent,9.329351568319755
1,Agent,12.187424077081204
1,Agent,8.379569343297224
1,Agent,8.75380066827519
1,Agent,9.030833409223211
1,Agent,12.160567018766484
1,Agent,9.636839502903475
1,Agent,10.841912958603842
1,Agent,7.739298817615059
1,Agent,7.819742259078686
1,Agent,11.014088694941764
1,Agent,9.283235235548633
1,Agent,9.852303620342528
1,Agent,10.848009823956955
1,Agent,9.509238132663862
1,Agent,8.806631219330916
1,Agent,10.01242203066297
1,Agent,7.345031935624749
1,Agent,9.513082353400325
1,Agent,10.27466185325321
1,Agent,8.726353878591198
1,Agent,10.427920559562514
1,Agent,8.82972873910745
1,Agent,10.283082408411689
1,Agent,9.933606671219923
1,Agent,8.788459810022509
1,Agent,10.774484357583631
1,Agent,9.264671738875327
1,Agent,8.230780858651595
1,Agent,9.54632980907773
1,Agent,7.001206607530989
1,Agent,10.03302985541652
1,Agent,7.6587226018908146
1,Agent,6.324853695813736
1,Agent,10.017536185921319
1,Agent,10.585887386815921
1,Agent,8.587688407545894
1,Agent,10.717501151135401
1,Agent,12.025770267073371
1,Agent,11.049269469865772
1,Agent,9.390991334435922
1,Agent,10.829300798489257
1,Agent,8.858577848737061
1,Agent,8.939781781377004
1,Agent,13.203268627349047
1,Agent,10.7260879215805
1,Agent,9.584446416613197
1,Agent,11.26524491123333
1,Agent,11.122062426087918
1,Agent,8.304375441838632
1,Agent,10.206924727408385
1,Agent,7.011729312898756
1,Agent,9.326111348718014
1,Agent,8.105368808980515
1,Agent,10.123418363367739
1,Agent,11.473380672961738
1,Agent,8.94220883809077
1,Agent,9.6457037329961
1,Agent,7.9717396914129495
1,Agent,9.815545707325278
1,Agent,9.537076496512674
1,Agent,7.261648959381509
1,Agent,9.912656249629892
1,Agent,10.949734909563091
1,Agent,9.700437764811419
1,Agent,8.522431923606181
1,Agent,7.512930924469858
1,Agent,8.774194559560453
1,Agent,9.235165625841224
1,Agent,9.177291844438821
1,Agent,6.8823606401303605
1,Agent,9.327629106398437
1,Agent,10.529726183697726
1,Agent,9.10167881696296
